trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.5, 'e': 0.0089242491504672}",20,0,3.746750681353218,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.008478036692943839}",25,19,13.623581883776065,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.008054134858296647}",20,8,20.583948709256056,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.0076514281153818135}",20,0,30.95904611878037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.0072688567096127225}",20,0,12.003803861555976,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.006905413874132086}",30,10,38.445773974106054,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.006560143180425482}",25,13,23.16945436785528,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.0062321360214042075}",25,10,22.1397778823631,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.005920529220333997}",30,4,44.41174336896452,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.0056245027593172965}",25,11,-4.3278170041605675,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.005343277621351432}",20,14,-29.326680685781973,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.0050761137402838595}",20,0,12.3830101190389,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.004822308053269666}",20,12,13.394799118841204,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
