trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
487,True,"{'a': 0, 'e': 0}",30,22,15.174894107186581,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,True,"{'a': 0, 'e': 0}",20,2,8.426630559604925,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
489,True,"{'a': 0, 'e': 0}",35,14,35.494913883753455,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,True,"{'a': 0, 'e': 0}",25,4,33.30523365824366,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,True,"{'a': 0, 'e': 0}",25,7,26.287149900357132,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,True,"{'a': 0, 'e': 0}",30,8,-7.0681630872424845,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
493,True,"{'a': 0, 'e': 0}",20,0,30.85358761203008,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,True,"{'a': 0, 'e': 0}",20,0,30.07069362221304,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
495,True,"{'a': 0, 'e': 0}",35,8,38.387593615700325,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,True,"{'a': 0, 'e': 0}",20,7,23.616846396300097,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,True,"{'a': 0, 'e': 0}",20,9,15.649341341881671,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,True,"{'a': 0, 'e': 0}",20,15,9.206218545075485,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,True,"{'a': 0, 'e': 0}",20,6,22.14459844343125,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,True,"{'a': 0, 'e': 0}",30,0,27.927871679447723,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
501,True,"{'a': 0, 'e': 0}",20,0,29.322062758199504,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,True,"{'a': 0, 'e': 0}",20,9,16.17816876093561,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,True,"{'a': 0, 'e': 0}",30,8,38.84401570596246,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,True,"{'a': 0, 'e': 0}",20,6,22.243096747492935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,True,"{'a': 0, 'e': 0}",25,14,19.054718200116383,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,True,"{'a': 0, 'e': 0}",25,18,14.52995503257401,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,True,"{'a': 0, 'e': 0}",20,9,17.930779053095247,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,True,"{'a': 0, 'e': 0}",25,18,9.185103294813995,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
509,True,"{'a': 0, 'e': 0}",30,2,42.16604770869098,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,True,"{'a': 0, 'e': 0}",20,6,21.280027135089682,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,True,"{'a': 0, 'e': 0}",20,0,30.2034266277259,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
512,True,"{'a': 0, 'e': 0}",20,0,27.83993700531766,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
513,True,"{'a': 0, 'e': 0}",20,0,22.521339992525743,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
514,True,"{'a': 0, 'e': 0}",20,3,28.209104570634775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,True,"{'a': 0, 'e': 0}",25,7,25.41762815559374,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,True,"{'a': 0, 'e': 0}",20,0,-8.817660953378795,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
517,True,"{'a': 0, 'e': 0}",25,0,15.896156220675435,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
518,True,"{'a': 0, 'e': 0}",20,9,15.434961110809015,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,True,"{'a': 0, 'e': 0}",20,0,26.96427234440006,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
520,True,"{'a': 0, 'e': 0}",25,0,14.565114418452577,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
521,True,"{'a': 0, 'e': 0}",25,18,11.2345097242155,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,True,"{'a': 0, 'e': 0}",20,0,25.852818042799864,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
523,True,"{'a': 0, 'e': 0}",20,0,10.52289893673333,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
524,True,"{'a': 0, 'e': 0}",20,10,17.129974009519604,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,True,"{'a': 0, 'e': 0}",20,11,16.507719226681296,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,True,"{'a': 0, 'e': 0}",25,0,13.975146015872028,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
527,True,"{'a': 0, 'e': 0}",30,16,26.473700703691467,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,True,"{'a': 0, 'e': 0}",20,7,21.400585438516575,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,True,"{'a': 0, 'e': 0}",25,7,26.060537575645352,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,True,"{'a': 0, 'e': 0}",25,19,-29.15041963463611,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
531,True,"{'a': 0, 'e': 0}",25,4,38.14724588268984,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,True,"{'a': 0, 'e': 0}",25,14,19.425074459657665,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,True,"{'a': 0, 'e': 0}",20,6,19.79153580086668,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
534,True,"{'a': 0, 'e': 0}",25,0,34.20409615146962,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
535,True,"{'a': 0, 'e': 0}",20,8,24.44682081284254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,True,"{'a': 0, 'e': 0}",20,5,19.472006861444502,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,True,"{'a': 0, 'e': 0}",30,11,30.468690828278913,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,True,"{'a': 0, 'e': 0}",30,0,41.09660432738075,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
539,True,"{'a': 0, 'e': 0}",20,11,17.020156770165553,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,True,"{'a': 0, 'e': 0}",25,5,35.80767139445053,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
541,True,"{'a': 0, 'e': 0}",35,0,26.235432127308037,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
542,True,"{'a': 0, 'e': 0}",20,6,-34.527792185064314,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
543,True,"{'a': 0, 'e': 0}",20,4,27.078383773390392,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,True,"{'a': 0, 'e': 0}",25,0,36.62455014819535,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
545,True,"{'a': 0, 'e': 0}",25,0,-0.43277803306162466,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
546,True,"{'a': 0, 'e': 0}",30,12,28.684117424243166,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
547,True,"{'a': 0, 'e': 0}",25,8,15.449188950004014,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
548,True,"{'a': 0, 'e': 0}",20,0,23.95340605332832,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
549,True,"{'a': 0, 'e': 0}",25,11,27.57017217111411,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
550,True,"{'a': 0, 'e': 0}",20,10,22.148877534377604,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
